nom,vi
𨔍 之 景 遇 干 𢞂,ạ  ả ộ ơ ồ
仍 䀡 骨 格 沕 群 風 光,ư  ố á ẫ ò  
共 払 娘 買 𢯢 𨖅,ù à à ớ ử 
房 文 垠 吏 𠬠 間 𭓇 行,ò ă ă ạ ộ  ọ à
親 父 具 潘 文 浦,â ụ ụ  ă ổ
更 荣 永 𪔠 更 吨, ă ẳ ố  ồ
渚 丐 紅 顔 買 渃 𡽫,ứ á ồ  ớ ướ 
香 迻 醝 吏 醒,ươ đư  ạ ỉ
彚 𦝄 𩄴 尺 缺 𣜾 𧷺,ầ ă ó ế ế ư ò
扦 昂 坦 𦼔 曾 盎,  đấ ê ừ á
續 蹎 𩄲 𥒥 𠇍 𫇳,ụ â â đá ấ ò
喭 餒 春 𠫾 春 吏 吏,á ỗ â đ â ạ ạ
𤗖 情 𣘈 子 𡥵 𡥵,ả ì  í  
親 母 具 潘 氏 春,â ẫ ụ  ị â
杜 首 科 場 乂 𢆥 更 子,đỗ ủ  ườ ệ ă  í
払 經 史 朱 明,à  ử  
払 畑 册 習 情 朱 專,à đè á ậ à  ê
娘 辰 𬓲 𠬠 軒,à ì ê ộ ê
𣒵 耕 勤 敏 𢝙 沔 女 工,ử  ầ ẫ  ề ữ ô
𣈘 𣈗 𢚸 仍 啂 𢚸,đê à ò ữ ủ ò
雖 外 唭 𠹳 仍 冲 𪧚, à ườ ợ ư  ữ
朱 𫨩 𡬷 腋 貞 坚,  ấ ạ  ê
𥒥 鐄 㗂 㐌 凭 𥾽 情 春,đá à ế đã ữ ề ì â
身 㛪 辰 分 㛪 𧷺,â  ì ậ  ò
𬙞 浽 𠀧 沉 𠇍 渃 𡽫,ả ổ  ì ấ ướ 
𧋻 湼 黙 油 𢬣 几 攤,ắ á ặ ầ  ẻ ặ
仍 㛪 刎 𡨸 𬌓 𢚸 𣘈,ư  ẫ ữ ấ ò 
払 徐 欺 﨤 佳 人,à ừ  ặ  â
𧡊 春 𨻫 仍 秦 銀 𢚸,ấ â ố ữ ầ ầ ò
𣌋 終 乍 𠬠 茄,ớ  ạ ộ à
欺 𫗒 欺 於 欺 欺, ă  ở  
朝 歴 事 清 騷,ề ị ự  
強 𥆾 眉 柳 桃 強 腰,à ì à ễ đà à ê
海 堂 皮 聀 春 霄,ả đườ ừ ấ â ê
巫 払 拱 算 條 𩄲 𩅹, à ũ  đề â ư
拮 𠳒 娘 㐌 呈 疎,ấ ờ à đã ì ư
浪 牢 君 子 擬 渚 盡 詳,ằ  â ử ĩ ư ậ ườ
本 𠊛 文 脉 書 香,ố ườ ă ạ ư ươ
𢚸 月 涓 塘 史,ò ệ ê đườ ử
之 仍 役 春 情, ữ ệ â ì
𦀊 紅 㐌 𥾾 𣈗 𩇢 群 𨱽,â ồ đã ộ à  ò à
文 𦊚 期 穷,ă ố ì ù
期 第 一 曰 兼 治,ì đệ ấ ế ê ị
士 夫 調 服 𠊛 咍 𡦂,ĩ  đề ụ ườ  ữ
㐌 𢧚 堛 𡥵,đã ê ậ 
爫 朱 𤏣 英 才 㐌,à  ỏ  à đã
払 亘 飭 三 餘,à ắ ứ  ư
𡗶 空 負 几 讀 書 麻,ờ ô ụ ẻ độ ư à
科 名 浽 業 茄,  ố ệ à
榜 鐄 耒 仕 𤒘 𭉩 夷,ả à ồ ẽ đố ộ ì
包 除 欺 旦 荣 𡚖, ờ  đế  
闭 除 妾 𪾋 惜 之 買 払,ấ ờ ế á ế  ớ à
払 𦖑 觧 每 唐,à  ả ọ đườ
搊 固 𡃍 之 娘 呂 荣, ó é  à ã 
強 𢜠 几 𠽃 鷄 鳴,à ừ ẻ ú ê 
𦖑 強 沛 用 情 朱 坚, à ả ụ ì  ê
𣌋 針 道 聖 䝨,ớ ă đạ á ề
恪 如 体 𡥵 船 渃 沙,á ư ể  ề ướ 
㐌 勾 如 切 如 磋,đã â ư ế ư 
吏 勾 如 𤥨 如 磨 技 強,ạ â ư á ư  ĩ à
堛 它 巨 文 章,ậ đà ự ă ươ
加 功 𭓇 習 吏 強 才, ô ọ ậ ạ à à
志 啉 漢 榜 宋 科,í ă á ả ố 
翁 自 欺 𡮈 固 志 改 革,ô ừ  ỏ ó í ả á
𢆥 辛 丑 翁 招 集 伴 同 志 謀 圖 局 反 対 政 治,ă â ử ô ê ậ ạ đồ í ư đồ ộ ả đố í ị
爫 卷 琉 球 血 淚 書 𢭮 朱 各 朝 臣 穷 各 名 士 底 鼓 動 𢚸 愛,à ể ư ầ ế ệ ư ử  á ề ầ ù á  ĩ để ổ độ ò á
國 𧵑 人 民,ố ủ â â
𡢐 𫥨 北 圻 交 𨒣 𠇍 各 名 人 外 北 如 ：,  ắ ỳ   ớ á  â à ắ ư 
具 督 定 宅 翁 秀 昌 耒 𨖲 𠇍 提 探 仍 不 得 志,ụ đố đị ạ ô ú ươ ồ ê ớ đề á ư ấ đắ í
如 抇 改 如,ư ặ ả ư
認 徐 修 道 闭,ị ừ  đạ ấ
東 度 染 牟 秋 霜,đô độ ộ à  ươ
仍 䝉 旦 隊 鏖 場,ữ  đế độ  ườ
梗 花 上 苑 之 讓 朱 埃,à  ượ ể  ườ  
娘 徐 欺 𨀈 外,à ừ  ướ à
𡬷 𬓲 仍 𢖵 𠊛 情 鍾,ấ ê ữ ớ ườ ì 
欺 店 冲 准 房, đê  ố ò
空 𪾋 挹 粉 空 𪾋 𢬗,ô á ấ ấ ô á ồ
𢆥 成 泰 次 𨑮 𧗱 中 圻 穷 𠇍 各 伴 ：,ă à á ứ ườ ề  ì ù ớ á ạ 
南 盛 山 斗 秀 定 鄧 採 蘋 鄧 子 曾 拔 虎 蔭 涵 云 云, ị ơ đẩ ú đị đặ á ầ đặ ử ă ạ ổ ấ à â â
穷 𠇍 翁 具 道 組 織 党 革 𠇮,ù ớ ô ụ đạ ổ ứ đả á ạ
𣎃 𠬠 𢆥 甲 辰 𠫾 外 國,á ộ ă á ì đ ạ ố
滥 𠊚 拯 固 德 共 才,à ườ ẳ ó đứ ù à
𠫾 儗 調 𪰛 劔 歇 𠄩,đ ỉ đề ì é ế 
險 旭 權 庄 突 吝,ể ó ề ă đụ ặ
清 閑 案 矣 刁 帶, à á ã đ đ
易 咍 𦛌 𣷭 溇 𣴓,ễ  ộ ể â ạ
坤 别 𢚸 𠊚 𬑵 𨱽,ô ế ò ườ ắ à
事 世 𭁈 冷 埃 𠳨 旦,ự ế ữ à  ỏ đế
保 浪 翁 㐌 的 𠄩 𦖻,ả ằ ô đã đế  
欺 𣈗 外 准 𫔮 階, à à ố à 
畧 辰 丙 𦎛 辰 丙 𤐝,ượ ì ế ươ ì ế 
𫷜 𧷺 審 脱 迻 梭,ă ò ấ á đư 
夏 戈 秋 細 冬 耒 吏 春,ạ   ớ đô ồ ạ â
隊 畨 𢖵 朱 陳,đò  ớ â ầ
䋦 情 娘 買 賖 𧵆 咀 嘆,ố ì à ớ  ầ ở 
隊 畨 𢖵 景 鄉,đò  ớ ả ươ
𢖵 茄 娘 拱 盘 桓 念 西,ớ à à ũ à à ề â
圭 𠊛 吝 呂 闭 𫢩,ê ườ ầ ữ ấ 
併 祝 㐌 侯 𣹓 冬,í ố đã ầ đầ đô
𪧚 雪 價 冲,ữ ế á 
賖 吹 别 固 信 𢚸 朱 庒, ô ế ó  ò  ă
情 𬓲 拯 𪾋 呐 䏻,ì ê ẳ á ó ă
𣎃 𣈗 𨻫 仍 𥊛 澄 槐,á à ố ữ ô ừ è
求 䝨 㐌 𧡊 詔,ầ ề đã ấ ế
几 𧵆 納 卷 几 賖 𨕭 唐,ẻ ầ ộ ể ẻ  ê đườ
文 人 闹 𠽋 𦊚 方,ă â á ứ ố ươ
娘 卞 㪽 朱 払 試,à è ử  à 
蹺 真 𠄩 𥒥 随, â  đứ ỳ
旦 払 買 認 圍 場,đế à ớ ậ  ườ
𠰘 吟 𢬣 討 卷 鐄,ệ â  ả ể à
几 輸 茟 𠊛 譲 喠 文,ẻ  ú ườ ườ ọ ă
場 屋 𠀧 秋 枉 某 名,ườ ố   ổ ỗ 
拯 才 称 聀 先 生,ẳ à ứ ứ ê 
勤 約 操 園 諸 子,ù ướ á ườ ư ử
船 𫵈 坤 都 𣷭 六 經,ề ọ ô đ ể ụ 
案 核 畑 𠄩 伴 𪧘,á â đè  ạ ũ
梅 軒 竹 蔑 𢚸 清, ê ú ộ ò 
吏 𢜠 元 氣 皮 盛,ạ ừ ê í ừ ị
群 忌 爲 咍 蔑 𡨸 丁,ò ậ ì  ộ ữ đ
㐌 𠇍 秋 尼 底 例 茹,đã ấ   để ệ à
縁 芇 刁 等 庫 庒 赦,ê à đ đẳ ó ă 
蔑 身 吝 橘 塘 科 目,ộ â ẩ ấ đườ  ụ
𠄩 𡨸 麻 役 國 家, ữ ơ ệ ố 
才 劣 辣 饒 𢧚 劔 伴,à ệ ạ ề ê é ạ
𠊚 𤷱 痗 歇 福 群 些,ườ ò ỏ ế ú ò 
君 親 渚 報 𢚸 更,â â ư á ò 
情 負 粓 𡗶 襖 吒,ì ụ ơ ờ á 
襊 踈 䕯 𨢇 情 控,ú ơ ầ ượ ê 
挂 用 歆 𠇍 琰 塘,ẩ ụ â ấ ặ đườ
臺 子 陵 高 秋 沫,đà ử ă   á
𤿤 張 騫 珥 客 𢀨,è ươ ê ẹ á 
蟳 六 辱 船 頭 罢,ằ ú ú ề đầ ã
蠔 質 摳 離 㯲 檜 廊,à ấ   ó ố à
吟 索 尚 䊷 工 課 意,â á ằ à  ở ấ
㗂 朝 𠰺 泣 滄 浪,ế à ậ ắ ươ 
𢀨 共 庫 𪽝 蒸 𡗶, ù ó ở ư ờ
吝 木 爫 之 朱 辱 唏,ặ ọ à   ọ ơ
瀉 𢚸 清 味 耨 渃,ả ò  ị ú á
𡍋 坦 隘 𪽏 夢 葸, đấ ả ố ồ ơ
勤 節 奇 恒 捻,ầ ế ả ằ ắ
忠 孝 念 初 馬 女 移, ế ề ư ự ỡ ờ
昆 𡥙 渚 嫌 双 曰 兀, á ớ ề  ế ặ
詩 書 實 意 寶 𠦳 𠁀, ư ự ấ á à đờ
噴 珠 𠰹 玉 𠸌 旬, â ả ọ đò ầ
科 扲 弄 𨑮 分 固, ầ ỏ ườ ầ ó
俸 𧡊 㗂 𬬻 傳,ỗ ấ ế ô ề
刘 平 㐌 題 𨕭 榜 鐄,ư ì đã đề ê ả à
席 捽 㤙 頒,ệ ó ơ 
𦹵 撑 𬮌 養 底 𢚸 仁,ỏ  ử ưỡ để ò â
竹 立 軒 梅 抉 俗 塵,ú ợ ê  é ụ ầ
業 𪧘 詩 疎 恒 蔑 職,ệ ũ  ư ằ ộ ứ
縁 初 香 火 象 𠀧 身,ê ư ươ ả ượ  â
顔 淵 渃 貯 瓢 群 月, ê ướ ứ ầ ò ệ
杜 甫 詩 𢧚 筆 固 神,đỗ ủ ơ ê ú ó ầ
女 君 親 渚 報 特,ợ â â ư á đượ
鞋 花 群 𥾽 琰 青 雲,à  ò ợ ặ  â
𠯪 嗷 香 桂 湯 𩄲,ọ à ươ ế  â
會 𬙽 亇 渃 森 圍,ộ à á ướ  ầ
補 功 畑 册 闭 𫢩 文 房,õ ô đè á ấ  ă ò
娘 𦖑 信 拱 𢜠 𢚸,à   ũ ừ ò
妥 情 餒 伴 𫯳 闭,ả ì ô ạ ồ ấ
想 𠳒 𡽫 審 渃 溇,ưở ờ  ẳ ướ â
仍 𢖵 対 愁 𢚸 圭,ữ ớ đổ ầ ò ê
情 𬓲 ㇴ 皮 皮,ì ê ê ề ề
倍 𢜠 娘 吏 𧗱 圭 鄉,ộ ừ à ạ ề ê ươ
𧡊 信 楊 禮 倍 鐄,ấ  ươ ễ ộ à
差 𠊛 迍 逴 娘 冲, ườ đó ướ à 
情 初 𧡊 𢝙 𢚸,ì ư ấ  ò
𨖅 潮 卅 廣 東 於 𠇍 刘 永 福, ề â ả đô ở ớ ư ĩ ú
喻 𠊛 越 南 於 边 艚 爫 𠬠 党,ủ ườ ệ  ở ê à à ộ đả
特 𠃣 吏 𨖅 日 本 結 交 𠇍 梁 啟 超 （ 号 飲 水 ） 穷 各 𠊛 艚 𠊛 日,đượ í ạ  ậ ả ế  ớ ươ ả ê  ệ ẩ ỷ  ù á ườ à ườ ậ
𢆥 𠬠 𠦳 𤾓 零 阻 𧗱 艚 迍 翁 強 邸 𨖅 日 立 㑹 維 新,ă ộ ì ă  ở ề à đó ô ườ để  ậ ậ ộ  â
鼔 動 捐 銭 南 𦓡 勸 喻 伴 少 年 𠫾 𨒣 学,ổ độ ê ề  à ê ủ ạ ế ê đ  ọ
𢆥 𠬠 𠦳 𤾓 被 𠊛 日 驅 逐 沛 𧗱 艚,ă ộ ì ă ị ườ ậ  ụ ả ề à
穷 𠊛 艚 組 𦃎 㑹 越 南 光 復,ù ườ à ổ ứ ộ ệ   ụ
𢆥 𠬠 𠦳 𤾓 𨑮 𠬠 𨖅 暹 羅,ă ộ ì ă ườ ộ  ê 
耒 吏 𨖅 德 𨖅 俄,ồ ạ  đứ  
𢆥 𠬠 𠦳 𤾓 𨑮 為 固 仍 𠊛 暴 動 称 朱,ă ộ ì ă ườ ì ó ữ ườ ạ độ ư 
被 座 案 𫽅 罪 処 死 永,ị à á é ộ ử ử ắ
𣎃 𬙞 𢆥 𠬠 𠦳 𤾓 𠄩 𠄻 被 扒 於 艚,á ả ă ộ ì ă  ă ị ắ ở à
𣈗 𠄩 𨑮 𣎃 𠬠 西,à  ươ á ộ â
会 同 提 刑 結 案 苦 差 終 身,ộ đồ đề ì ế á ổ   â
𣈗 𠄩,à 
𨑮 𦊚 𣎃 腊 西,ươ ố á ạ â
特 官 全 權 𫥨 令 㤙 赦,đượ  à ề  ệ â á
欺 於 外 國 固 曰 报 吧 爫 册, ở ạ ố ó ế á à à á
仍 册 固 卷 餘 九 年 所 持 之 主 𡅳 同 胞 補 罕 𡓃 武 力,ữ á ó ể ư ử ê ở đượ  ủ ê đồ à ỏ ẳ ố ũ ự
蹺 𦎛 亞 拉 伯 吧 非 律 津 故 飭 学 行 底 𨖲 塘 文 明 辰 𠊛 法 仕 朱 自 治, ươ á ạ á à  ậ â ố ứ ọ à để ê đườ ă  ì ườ á ẽ  ự ị
卷 創 造 少 年 南 越 之 方 法 固 呐 仍 調 進 歩 𦓡 政 府 法 㐌 𨢟 朱 渃 南,ể á ạ ế ê  ệ  ươ á ó ó ữ đề ế ộ à í ủ á đã â  ướ 
吏 固 曰 卷 法 越 提 𢹂 政 見 書,ạ ó ế ể á ệ đề ề í ế ư
記 獨 醒 子 𦓡 册 恪 女,í độ ỉ ử à á á ữ
𡢐 欺 㑹 同 提 刑 処 罰 翁 苦 差 終 身,  ộ đồ đề ì ử ạ ô ổ   â
國 民 故 飭 運 動 朱 翁 特 他,ố â ố ứ ậ độ  ô đượ 
𣈗 𠄩 𨑮 𣎃 𠬠 西,à  ươ á ộ â
翁 会 長 会 中 圻 相 済 固 𢭮 朱 官 全 權 𠬠 幅 電 信,ô ộ ưở ộ  ì ươ ế ó ử   à ề ộ ứ đệ í
吀 𧍋 下 顧 𦤾 翁 潘 𠊛 中 圻 當 沛 𮥷, à ạ ố đế ô  ườ  ì đ ả ạ
𦤾 𣈗 𨑮 𣎃 𠬠 西,đế à ươ á ộ â
㑹 㜥 接 特 電 信 官 全 權 者 𠳒 如 𡢐 尼,ộ á ế đượ đệ í  à ề ả ờ ư  à
官 全 權 東 法 答 吏 翁 黃 進 講 会 長 会 中 圻 相 済, à ề đô á đá ạ ô à ế ả ộ ưở ộ  ì ươ ế
本 聀 通 报 朱 𠄩 状 師 辨 𫉚 𧗱 役 潘 佩 珠 别 浪 意 本 聀 定 欺 𫥨 河 内 仕 扒 頭 察 吏 糊 初 私,ả ứ ô á   ạ ư ệ ộ ề ệ  ộ â ế ằ ý ả ứ đị   à ộ ẽ ắ đầ é ạ ồ ơ ư
𢬣 准 樓 紅 寒 暄, ố ầ ồ à ê
娘 浪 㐌 𠳒 願,à ằ đã ờ ề
𪾋 醝 情 伴 麻 悁 払,á  ì ạ à ê à
秋 𧜖 𫋻 他 鄉, ă ố  ươ
𠄼 更 妾 仍 𢠩 忙 奇 𠄼,ă  ế ữ ơ à ả ă
北 南 堆 我 賖 侵,ắ  đô ả  ă
愁 𬓲 似 𣷭 𢢇,ầ ê ự ể ủ
管 包 派 粉 𤁕 𣘈,ả   ấ ạ 
𢬇 朱 特 𣃱 𧷺 爱 㤙,ữ  đượ ô ò á â
矇 朱 旦 㑹 竜 雲,  đế ộ  â
朱 𠊛 占 榜 春 麻 𧗱, ườ ế ả â à ề
悲 除 㐌 院 每 皮,â ờ đã ẹ ọ ề
払 群 𢖵 交 誓 𫨩 空,à ò ớ  ề  ô
𫷜 㤕 㧅 蓬,ă ú đ ò
綱 常 𠄩 𡦂 妾 空 𪾋 移,ươ ườ  ữ ế ô á ờ
払 油 拯 固 信 𠳒,à ù ẳ ó  ờ
𪾋 吀 固 𩃳 𡗶 証 明,á  ó ó ờ ứ 
払 浪 胣 仍 丁 寧,à ằ ạ ữ đ 
㤙 葛 為 情 芝 𬞕,ơ á ì ì  
闭 𢖵 客 紅 顔,ấ ớ á ồ 
别 包 𥐆 咀 𨱽 嘆 亊 𢚸,ế  ắ ở à  ự ò
身 閑 油 細 油 𨙝,â à ầ ớ ầ 
輸 特 朋 棊 埃 几 堆, đượ ằ ờ  ẻ đô
伴 𪧘 少 畑 免,ạ ũ ế đè ẫ
性 涓 庄 劒 竹 共 梅,í  ă ế ú ù 
𦓿 𢶢 雪 吟 隊 景,à ố ế â đò ả
掬 制 春 泣 每 頽,ố ơ â ắ ọ đồ
昆 𡥙 馬 嫌 双 曰 賤, á ự ề  ế ệ
𠦳 頭 柑 橘 意 羅 碎,ì đầ  ý ấ à ô
斜 陽 俸 我 課 紅 樓,à ươ ó ả ở ồ â
世 界 冬 𢧚 玉 蔑 瓢,ế ớ đô ê ọ ộ ầ
雪 朔 撩 核 點 粉,ế ó  â để ấ
晷 東 豸 月 印 鈎,ỹ đô ã ệ  â
𤌋 沉 水 國 涓 滂,ó ì ủ ố ê ẳ
鴈 篆 虛 空 偷,ạ ệ ư ô â
船 𫵈 群 掉 拯 肯 杜,ề ọ ò è ă ứ đỗ
𡗶 班 最 約 𧗱,ờ  ố ướ ề
朱 𡬷 胣 始 终, ấ ạ ỷ 
肝 鐄 𥒥 𥾽 𢚸 鉄 𣘈, à đá ề ò ắ 
章 䑓 隔 阻 渃 𡽫,ươ đà á ở ướ 
埃 𫨩 𣘃 栁 駭 群 梗 春,  â ễ ã ò à â
㤙 𢚸 别 之 吀,ơ ò ế  
強 夭 為 強 親 為 情,à ê ì à â ì ì
払 強 醝 𬌓 𢚸 貞,à à  ấ ò 
縁 初 香 焒 生 強 燶,ê ư ươ ử  à ồ
店 春 𤏣 篭,đê â ỏ ồ
局 𢝙 吏 捽 同 交 歡,ộ  ạ ó đồ  
娘 徐 𧗱 准 房 鵉,à ừ ề ố ò 
集,ậ
本 聀 拱 矇 浪 役 𡢐 欺 察 吏 仕 爫 朱 本 聀 固 体 𥙩 丐 制 度 寛 洪 𦓡 答 吏 𢚸 信 𢚁 𧵑 民 眾 越 南 対 𠇍 本 聀,ả ứ ũ  ằ ệ   é ạ ẽ à  ả ứ ó ể ấ á ế độ  ồ à đá ạ ò  ậ ủ â ú ệ  đố ớ ả ứ
皮 𦒹 餘 糁 𫡦 秋,ừ á ư á í 
𦝄 䏧 相,ư  ướ
林 泉 清 永 伴 巢 許,â ề  ắ ạ à ứ
礼 楽 閑 制 道 孔 周,ễ ạ à ơ đạ ổ 
鉢 粓 叉 如 恩 社 稷,á ơ  ờ ơ ã ắ
間 𦫼 𦹵 隊 唐 虞, ề ỏ độ đườ 
絲 豪 庄 固 填 恩 主,ơ à ẳ ó đề ơ ú
𠰺 廊 溋 𠇍 士 儒,ạ á ề ấ ĩ 
自 欺 本 聀 𪦲 𦤾 処,ừ  ả ứ ớ đế ứ
𣋚 夢 𠄼 𣎃 腊 西,ô ù ă á ạ â
官 全 權 細 河 内, à ề ớ à ộ
欺 𦤾 頭 庯 嘉 隆 辰 固 𠬠 伴 生 員 各 場 高 冬 𦤾 𦊚 𨑮 𠊛, đế đầ ố   ì ó ộ ọ  ê á ườ  đô đế ố ươ ườ
同 声 祝 𢜠 官 全 權 吧 㨢 高 𠬠 幅 𦃿 曰 寔 蘇 仍 𡦂 尼,đồ  ú ừ  à ề à â  ộ ứ ả ế ậ  ữ ữ à
翁 噅 𠊛 党 社 長 壽 吀 救 怒 朱 翁 潘 佩 珠 補 丐 政 策 属 地 抑 制 𠫾,ô  ườ đả ã ưở ọ  ứ ờ  ô  ộ â ỏ á í á ộ đị ứ ế đ
曰 朋 𡦂 西 仍 低 譯 𫥨 囯 語 如 𡢐 尼,ế ằ ữ â ư để í à ố ữ ư  à
𠫾 𠬠 觥 女 𦤾 頭 庯 場 銭 吏 固 𠬠 伴 生 員 𦤾 欣 𨑮 𠊛,đ ộ ã ữ đế đầ ố à ề ạ ó ộ ọ  ê đế ơ ươ ườ
拱 嵩 𨖲 𠬠 幅 𦃿 曰 仍 𠳒 祝 頌 官 全 權,ũ  ê ộ ứ ả ế ữ ờ ú ụ  à ề
吧 吀 𧍋 審 吏 丐 案 翁 潘 𦓡 朱 翁 特 案,à  à ẩ ạ á á ô  à  ô đượ á
群 如 女,ò ư ữ
調 生 員 場 高 𢺹 𫥨 底 請 求 𠇍 調 的 當 妬,đề  ê ườ    để ỉ ầ ấ đề đí đá đó
官 全 權 𠫾 戈 仍 生 員, à ề đ  ữ  ê
𦖑 㗂 嵩 呼 辰 𧍋 調 拮 𢃱 嘲 吧 拁 𢬣 仕 捤 如 意 保 𧍋 㐌 曉 透 朱 耒, ế  ô ì à đề ấ ũ à à ơ  ẽ ẫ ư ý ả à đã ể ấ  ồ
欺 各 員 学 生 祝 頌 𢝙 辰 翁 主 报 鳴 固 蛰 特 𠇍 丐 影, á ê ọ  ú ụ  ì ô ủ á  ó ụ đượ ấ á ả
翁 吏 𦤾 扒 𢬣 𠇍 翁 学 生 𦓡 𤍊 𠳒 𠸦 𬢱,ô ạ đế ắ  ớ ô ọ  à ỏ ờ  ợ
功 役 𧵑 各 翁 爫 耒 拱 固 成 效,ô ệ ủ á ô à ồ ũ ó à ệ
欺 車 官 全 權 𦤾 頭 庯 𪦲,   à ề đế đầ ố ớ
吏 固 伴 澄 𤾓 跪 於 𫡉 塘 底 𫠿 𠬠 幅 書 吀 他 罪 朱 翁 潘,ạ ó ọ ừ ă ỳ ở ữ đườ để â ộ ứ ư   ộ  ô 
頭 固 𠬠 具 㐌 𬙞 𨑮 𢆫 頭 𩯀 白 菲,đầ ó ộ ụ đã ả ươ ổ đầ ó ạ ơ
幅 書 𧵑 各 𫠿 𨖲 官 全 權 𠳒 𨤰 窒 感 動,ứ ư ủ á â ê  à ề ờ ẽ ấ ả độ
在 河 内 𣋚 女 学 生 場 高 等 師 範 𨖲 謁 見 全 權 固 吀 㤙 赦 朱 翁 潘,ạ à ộ ô ữ ọ  ườ  đẳ ư ạ ê ế ế à ề ó  â á  ô 
在 京 都 化 場 女 学 同,ạ  đô ế ườ ữ ọ đồ
各 姑 教 穷 女 生 同 𢚸 𢭮 電 信 𫥨 府 全 權 吀 㤙 赦 朱 翁 潘,á ô á ù ữ  đồ ò ử đệ í  ủ à ề  â á  ô 
聖 説 𩅹 春 㙮 𠃅,á ó ư â đắ á
𫗂 東 噲 客 𢖵 𠊚 賖,ó đô ọ á ớ ườ 
𣷭 潺 淶 𣼽 潮 𨖲 𬺗,ể à  á ề ê ố
催 對 畑 𣅙 吏 𥋴 花,ô đố đè  ạ ắ 
𥋴 朶 花 春 共 嘺 𠊛,ắ đá  â ũ ẹ ườ
𠊚 愁 沕 没 牟 鮮,ườ ầ ẫ ộ à ươ
花 鮮 如 樣 花 唭 客, ươ ư á  ườ á
唭 客 𫳵 𦓡 春 庒 𢝙,ườ á  à â ẳ 
客 保 朱 花 特 别 詳,á ả   đượ ế ườ
丈 夫 坤 𨤰 𥠭 𠊚 常,ượ  ô ẽ ố ườ ườ
共 饒 㐌 𥘀 𠳒 𡽫 著,ù  đã ặ ờ  ướ
賖 伴 同 心 丕 沛 傷, ạ đồ â ậ ả ươ
㦖 細 共 埃 𤋵 𬌓 𢚸,ố ớ ù  ã ấ ò
愁 𥢆 㐌 𫽻 𫽻 朱 衝,ầ ê đã ỡ ỡ  
春 𠫾 春 吏 無 穷 盡,â đ â ạ ô ù ậ
固 𨤰 些 兜 𢹇 買 𨦩,ó ẽ  đâ ắ ã ò
扒 䂨 埃 些 祝 𠇍 𠳒,ắ ướ   ú ấ ờ
祝 朱 泣 奇 𥪝 𠁀,ú  ắ ả  đờ
𤤰 官 士 庶 𠊚 渃,  ĩ ứ ườ ướ
𫳵 特 朱 𫥨 丐 𥠭 𠊚, đượ   á ố ườ
扒 䂨 埃 些 祝 𠇍 𠳒,ắ ướ   ú ấ ờ
祝 朱 𩔖 産 於 𥪝 𠁀,ú  à ả ở  đờ
𤤰 官 士 庶 𠊚 泣 渃,  ĩ ứ ườ ắ ướ
据 㩀 𫳵 𫥨 丐 𥠭 𠊚,ư ử   á ố ườ
春 𨖅 耒 帝 姉 㛪 喂,â  ồ đấ ị  ơ
㩥 𢯢 制 春 嘺 女 壞,ắ ử ơ â ẻ ữ à
𠃩 逐 韶 光 固 𠇍,í ụ ề  ó ấ
箕 𥉫 𡥵 燕 奴 迻 梭,ì ô  é ó đư 
𦰟 畑 𣛟 冊 𫯳,ọ đè  á ồ
唭 春 花 𧺀 𠬠 𠄽,ườ â  ắ ộ à
挈 包 意 味 包 情 思,ế  ý ị  ì ứ
吟 讀 輸 𣎀 𩃳 红,â đọ â đê ó ồ
𠊚 賞 春 些 固 𨤰 空,ườ ưở â  ó ẽ ô
園 春 些 𢲨 𠄽,ườ â  á à
抌 𧗱 書 院 边 𫯳 冊,đ ề ư ệ ê ồ á
漢 𠼯 唭 春 買 化 工,ớ ở ườ â ớ á ô
𣌋 冲 悵 外 幔 徔 容,ớ  ướ à à  
欺 𫗃 沫 欺 𦝄 冲, ó á  ă 
欺 牟 雪 欺 花 鐄, à ế   à
欺 欺 官 弹,   đà
欺 勾 詩 聖 欺 盘 棋 仙, â ơ á  à ờ ê
東 桃 西 桞 鮮 研,đô đà â ễ ê ê
春 𬞕 秋 菊 團 圓 𠬠,â   ú đà ê ộ
唱 随 𢧚 道 室 家,ướ ỳ ê đạ ấ 
陳 朱 意 買 陳 朱,ầ â ấ ớ ầ â
娘 辰 院 𡦂 徔 夫,à ì ẹ ữ ò 
浽 払 刘 易 别 麻 盘,ô à ư ễ ế à à
徐 𣈗 占 特 榜 鐄,ừ à ế đượ ả à
荣 𡚖 𧗱 拯 别 娘 𠫾,  ề ẳ ế à đ
払 強 想 𢖵 強 愁,à à ưở ớ à ầ
払 強 擬 旦 頭 強 傷,à à ĩ đế đầ à ươ
𢖵 𣈗 舘 迎 香,ớ à á  ươ
詩 題 皮 断 﨤 娘 占 詩,ơ đề ừ đạ ặ à  ơ
𠬠 𠄩 拫 抪 𩯀 絲,ộ  ắ ó ó ơ
呐 䏻 思 朗 盧 風 情,ó ă ử ẳ ơ  ì
埃 𫨩 𡬷 胣 坚 貞,  ấ ạ ê 
秋 𢖵 𢚁 功 程 别 包, ớ ậ ô ì ế 
仍 所 電 报 𪧚 吏 空 𢭮 𠫾,ư ở đệ á ữ ạ ô ử đ
𡢐 官 𠳨 䀡 埃 提 唱 𫥨 役, ú ỏ   đề ướ  ệ
辰 只 除 督 𫥨 群 自 姑 敎 𦤾 学 路 調 認 奇,ì ỉ ừ đố  ò ừ ô á đế ọ ò đề ậ ả
